"id","device_code","breath_rate","heart_rate","event","timestamp","sleep_stage"
22583366,w4lc57jlk4n4d,13,78,,1762415827,2
22583353,w4lc57jlk4n4d,13,77,,1762415817,2
22583354,w4lc57jlk4n4d,13,77,,1762415817,2
22583341,w4lc57jlk4n4d,14,77,,1762415807,2
22583342,w4lc57jlk4n4d,14,77,,1762415807,2
22583329,w4lc57jlk4n4d,14,75,,1762415797,2
22583330,w4lc57jlk4n4d,14,75,,1762415797,2
22583317,w4lc57jlk4n4d,16,71,,1762415787,2
22583318,w4lc57jlk4n4d,16,71,,1762415787,2
22583305,w4lc57jlk4n4d,15,72,,1762415777,2
22583306,w4lc57jlk4n4d,15,72,,1762415777,2
22583293,w4lc57jlk4n4d,15,74,,1762415767,2
22583294,w4lc57jlk4n4d,15,74,,1762415767,2
22583281,w4lc57jlk4n4d,15,78,,1762415757,2
22583282,w4lc57jlk4n4d,15,78,,1762415757,2
22583269,w4lc57jlk4n4d,15,76,,1762415747,2
22583270,w4lc57jlk4n4d,15,76,,1762415747,2
22583257,w4lc57jlk4n4d,16,71,,1762415737,2
22583258,w4lc57jlk4n4d,16,71,,1762415737,2
22583245,w4lc57jlk4n4d,15,74,,1762415727,2
22583246,w4lc57jlk4n4d,15,74,,1762415727,2
22583233,w4lc57jlk4n4d,15,74,,1762415717,2
22583234,w4lc57jlk4n4d,15,74,,1762415717,2
22583221,w4lc57jlk4n4d,16,76,,1762415707,2
22583222,w4lc57jlk4n4d,16,76,,1762415707,2
22583209,w4lc57jlk4n4d,16,75,,1762415697,2
22583210,w4lc57jlk4n4d,16,75,,1762415697,2
22583197,w4lc57jlk4n4d,15,78,,1762415687,2
22583198,w4lc57jlk4n4d,15,78,,1762415687,2
22583185,w4lc57jlk4n4d,15,79,,1762415677,2
22583186,w4lc57jlk4n4d,15,79,,1762415677,2
22583173,w4lc57jlk4n4d,15,72,,1762415667,2
22583174,w4lc57jlk4n4d,15,72,,1762415667,2
22583161,w4lc57jlk4n4d,14,72,,1762415657,2
22583162,w4lc57jlk4n4d,14,72,,1762415657,2
22583149,w4lc57jlk4n4d,15,75,,1762415647,2
22583150,w4lc57jlk4n4d,15,75,,1762415647,2
22583137,w4lc57jlk4n4d,15,75,,1762415637,2
22583138,w4lc57jlk4n4d,15,75,,1762415637,2
22583125,w4lc57jlk4n4d,15,74,,1762415627,2
22583126,w4lc57jlk4n4d,15,74,,1762415627,2
22583113,w4lc57jlk4n4d,15,71,,1762415617,2
22583114,w4lc57jlk4n4d,15,71,,1762415617,2
22583101,w4lc57jlk4n4d,15,73,,1762415607,2
22583102,w4lc57jlk4n4d,15,73,,1762415607,2
22583097,w4lc57jlk4n4d,15,71,,1762415603,2
22583098,w4lc57jlk4n4d,15,71,,1762415603,2
22583087,w4lc57jlk4n4d,15,73,,1762415597,2
22583088,w4lc57jlk4n4d,15,73,,1762415597,2
22583075,w4lc57jlk4n4d,15,75,,1762415587,2
22583076,w4lc57jlk4n4d,15,75,,1762415587,2
22583063,w4lc57jlk4n4d,14,75,,1762415577,2
22583064,w4lc57jlk4n4d,14,75,,1762415577,2
22583051,w4lc57jlk4n4d,15,75,,1762415566,2
22583052,w4lc57jlk4n4d,15,75,,1762415566,2
22583039,w4lc57jlk4n4d,15,76,,1762415556,2
22583040,w4lc57jlk4n4d,15,76,,1762415556,2
22583027,w4lc57jlk4n4d,15,76,,1762415546,2
22583028,w4lc57jlk4n4d,15,76,,1762415546,2
22583015,w4lc57jlk4n4d,15,74,,1762415536,2
22583016,w4lc57jlk4n4d,15,74,,1762415536,2
22583003,w4lc57jlk4n4d,14,71,,1762415526,2
22583004,w4lc57jlk4n4d,14,71,,1762415526,2
22582991,w4lc57jlk4n4d,14,76,,1762415516,2
22582992,w4lc57jlk4n4d,14,76,,1762415516,2
22582979,w4lc57jlk4n4d,15,75,,1762415506,2
22582980,w4lc57jlk4n4d,15,75,,1762415506,2
22582967,w4lc57jlk4n4d,15,79,,1762415496,2
22582968,w4lc57jlk4n4d,15,79,,1762415496,2
22582955,w4lc57jlk4n4d,15,74,,1762415486,2
22582956,w4lc57jlk4n4d,15,74,,1762415486,2
22582943,w4lc57jlk4n4d,15,75,,1762415476,2
22582944,w4lc57jlk4n4d,15,75,,1762415476,2
22582931,w4lc57jlk4n4d,15,74,,1762415466,2
22582932,w4lc57jlk4n4d,15,74,,1762415466,2
22582919,w4lc57jlk4n4d,15,71,,1762415456,2
22582920,w4lc57jlk4n4d,15,71,,1762415456,2
22582907,w4lc57jlk4n4d,15,73,,1762415446,2
22582908,w4lc57jlk4n4d,15,73,,1762415446,2
22582895,w4lc57jlk4n4d,15,72,,1762415436,2
22582896,w4lc57jlk4n4d,15,72,,1762415436,2
22582883,w4lc57jlk4n4d,15,73,,1762415426,2
22582884,w4lc57jlk4n4d,15,73,,1762415426,2
22582871,w4lc57jlk4n4d,15,74,,1762415416,2
22582872,w4lc57jlk4n4d,15,74,,1762415416,2
22582859,w4lc57jlk4n4d,15,75,,1762415406,2
22582860,w4lc57jlk4n4d,15,75,,1762415406,2
22582847,w4lc57jlk4n4d,15,73,,1762415396,2
22582848,w4lc57jlk4n4d,15,73,,1762415396,2
22582835,w4lc57jlk4n4d,14,73,,1762415386,2
22582836,w4lc57jlk4n4d,14,73,,1762415386,2
22582823,w4lc57jlk4n4d,14,74,,1762415376,2
22582824,w4lc57jlk4n4d,14,74,,1762415376,2
22582811,w4lc57jlk4n4d,15,76,,1762415366,2
22582812,w4lc57jlk4n4d,15,76,,1762415366,2
22582799,w4lc57jlk4n4d,14,76,,1762415356,2
22582800,w4lc57jlk4n4d,14,76,,1762415356,2
22582787,w4lc57jlk4n4d,14,74,,1762415346,2
22582788,w4lc57jlk4n4d,14,74,,1762415346,2
22582775,w4lc57jlk4n4d,15,73,,1762415336,2
22582776,w4lc57jlk4n4d,15,73,,1762415336,2
22582763,w4lc57jlk4n4d,14,75,,1762415326,2
22582764,w4lc57jlk4n4d,14,75,,1762415326,2
22582751,w4lc57jlk4n4d,15,74,,1762415316,2
22582752,w4lc57jlk4n4d,15,74,,1762415316,2
22582741,w4lc57jlk4n4d,14,76,,1762415306,2
22582742,w4lc57jlk4n4d,14,76,,1762415306,2
22582729,w4lc57jlk4n4d,15,76,,1762415296,2
22582730,w4lc57jlk4n4d,15,76,,1762415296,2
22582717,w4lc57jlk4n4d,15,75,,1762415286,2
22582718,w4lc57jlk4n4d,15,75,,1762415286,2
22582705,w4lc57jlk4n4d,14,77,,1762415276,2
22582706,w4lc57jlk4n4d,14,77,,1762415276,2
22582693,w4lc57jlk4n4d,15,72,,1762415266,2
22582694,w4lc57jlk4n4d,15,72,,1762415266,2
22582681,w4lc57jlk4n4d,16,72,,1762415256,2
22582682,w4lc57jlk4n4d,16,72,,1762415256,2
22582669,w4lc57jlk4n4d,15,75,,1762415246,2
22582670,w4lc57jlk4n4d,15,75,,1762415246,2
22582657,w4lc57jlk4n4d,15,76,,1762415236,2
22582658,w4lc57jlk4n4d,15,76,,1762415236,2
22582645,w4lc57jlk4n4d,15,74,,1762415226,2
22582646,w4lc57jlk4n4d,15,74,,1762415226,2
22582633,w4lc57jlk4n4d,16,72,,1762415216,2
22582634,w4lc57jlk4n4d,16,72,,1762415216,2
22582621,w4lc57jlk4n4d,15,75,,1762415205,2
22582622,w4lc57jlk4n4d,15,75,,1762415205,2
22582611,w4lc57jlk4n4d,15,73,,1762415195,2
22582612,w4lc57jlk4n4d,15,73,,1762415195,2
22582599,w4lc57jlk4n4d,14,74,,1762415185,2
22582600,w4lc57jlk4n4d,14,74,,1762415185,2
22582587,w4lc57jlk4n4d,14,75,,1762415175,2
22582588,w4lc57jlk4n4d,14,75,,1762415175,2
22582575,w4lc57jlk4n4d,14,74,,1762415165,2
22582576,w4lc57jlk4n4d,14,74,,1762415165,2
22582563,w4lc57jlk4n4d,15,72,,1762415155,2
22582564,w4lc57jlk4n4d,15,72,,1762415155,2
22582551,w4lc57jlk4n4d,15,75,,1762415145,2
22582552,w4lc57jlk4n4d,15,75,,1762415145,2
22582539,w4lc57jlk4n4d,15,74,,1762415135,2
22582540,w4lc57jlk4n4d,15,74,,1762415135,2
22582527,w4lc57jlk4n4d,15,72,,1762415125,2
22582528,w4lc57jlk4n4d,15,72,,1762415125,2
22582515,w4lc57jlk4n4d,14,68,,1762415115,2
22582516,w4lc57jlk4n4d,14,68,,1762415115,2
22582501,w4lc57jlk4n4d,14,74,,1762415105,2
22582502,w4lc57jlk4n4d,14,74,,1762415105,2
22582489,w4lc57jlk4n4d,15,72,,1762415095,2
22582490,w4lc57jlk4n4d,15,72,,1762415095,2
22582477,w4lc57jlk4n4d,14,75,,1762415085,2
22582478,w4lc57jlk4n4d,14,75,,1762415085,2
22582465,w4lc57jlk4n4d,15,72,,1762415075,2
22582466,w4lc57jlk4n4d,15,72,,1762415075,2
22582453,w4lc57jlk4n4d,15,77,,1762415065,2
22582454,w4lc57jlk4n4d,15,77,,1762415065,2
22582441,w4lc57jlk4n4d,17,77,,1762415055,2
22582442,w4lc57jlk4n4d,17,77,,1762415055,2
22582429,w4lc57jlk4n4d,17,72,,1762415045,2
22582430,w4lc57jlk4n4d,17,72,,1762415045,2
22582417,w4lc57jlk4n4d,15,72,,1762415035,2
22582418,w4lc57jlk4n4d,15,72,,1762415035,2
