"id","device_id","time_stamp","left_right","breath","heart","turn_over","body_move","sit_up","init_status","bed_status","signal_quality"
22584267,w4lc57jlk4n4d,1762416580,0,15,78,0,0,0,0,0,0
22584268,w4lc57jlk4n4d,1762416580,0,15,78,0,0,0,0,0,0
22584255,w4lc57jlk4n4d,1762416570,0,15,76,0,0,0,0,0,0
22584256,w4lc57jlk4n4d,1762416570,0,15,76,0,0,0,0,0,0
22584243,w4lc57jlk4n4d,1762416560,0,14,79,0,0,0,0,0,0
22584244,w4lc57jlk4n4d,1762416560,0,14,79,0,0,0,0,0,0
22584231,w4lc57jlk4n4d,1762416550,0,14,73,0,0,0,0,0,0
22584232,w4lc57jlk4n4d,1762416550,0,14,73,0,0,0,0,0,0
22584219,w4lc57jlk4n4d,1762416540,0,13,72,0,0,0,0,0,0
22584220,w4lc57jlk4n4d,1762416540,0,13,72,0,0,0,0,0,0
22584207,w4lc57jlk4n4d,1762416530,0,14,79,0,0,0,0,0,0
22584208,w4lc57jlk4n4d,1762416530,0,14,79,0,0,0,0,0,0
22584195,w4lc57jlk4n4d,1762416520,0,15,77,0,0,0,0,0,0
22584196,w4lc57jlk4n4d,1762416520,0,15,77,0,0,0,0,0,0
22584183,w4lc57jlk4n4d,1762416510,0,15,75,0,0,0,0,0,0
22584184,w4lc57jlk4n4d,1762416510,0,15,75,0,0,0,0,0,0
22584171,w4lc57jlk4n4d,1762416500,0,14,71,0,0,0,0,0,0
22584172,w4lc57jlk4n4d,1762416500,0,14,71,0,0,0,0,0,0
22584159,w4lc57jlk4n4d,1762416490,0,14,75,0,0,0,0,0,0
22584160,w4lc57jlk4n4d,1762416490,0,14,75,0,0,0,0,0,0
22584147,w4lc57jlk4n4d,1762416480,0,14,74,0,0,0,0,0,0
22584148,w4lc57jlk4n4d,1762416480,0,14,74,0,0,0,0,0,0
22584133,w4lc57jlk4n4d,1762416470,0,14,76,0,0,0,0,0,0
22584134,w4lc57jlk4n4d,1762416470,0,14,76,0,0,0,0,0,0
22584123,w4lc57jlk4n4d,1762416460,0,16,74,0,0,0,0,0,0
22584124,w4lc57jlk4n4d,1762416460,0,16,74,0,0,0,0,0,0
22584111,w4lc57jlk4n4d,1762416450,0,15,75,0,0,0,0,0,0
22584112,w4lc57jlk4n4d,1762416450,0,15,75,0,0,0,0,0,0
22584099,w4lc57jlk4n4d,1762416440,0,15,72,0,0,0,0,0,0
22584100,w4lc57jlk4n4d,1762416440,0,15,72,0,0,0,0,0,0
22584087,w4lc57jlk4n4d,1762416430,0,14,74,0,0,0,0,0,0
22584088,w4lc57jlk4n4d,1762416430,0,14,74,0,0,0,0,0,0
22584075,w4lc57jlk4n4d,1762416419,0,13,74,0,0,0,0,0,0
22584076,w4lc57jlk4n4d,1762416419,0,13,74,0,0,0,0,0,0
22584063,w4lc57jlk4n4d,1762416409,0,13,73,0,0,0,0,0,0
22584064,w4lc57jlk4n4d,1762416409,0,13,73,0,0,0,0,0,0
22584051,w4lc57jlk4n4d,1762416399,0,11,84,0,0,0,0,0,0
22584052,w4lc57jlk4n4d,1762416399,0,11,84,0,0,0,0,0,0
22584039,w4lc57jlk4n4d,1762416389,0,14,71,1,1,0,0,0,0
22584040,w4lc57jlk4n4d,1762416389,0,14,71,1,1,0,0,0,0
22584027,w4lc57jlk4n4d,1762416379,0,14,71,1,0,0,0,0,0
22584028,w4lc57jlk4n4d,1762416379,0,14,71,1,0,0,0,0,0
22584015,w4lc57jlk4n4d,1762416369,0,14,71,0,2,0,0,0,0
22584016,w4lc57jlk4n4d,1762416369,0,14,71,0,2,0,0,0,0
22584003,w4lc57jlk4n4d,1762416359,0,14,75,0,0,0,0,0,0
22584004,w4lc57jlk4n4d,1762416359,0,14,75,0,0,0,0,0,0
